NCES School ID,State School ID,NCES District ID,State District ID,Low Grade,High Grade,School Name,District,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code,Locale,Charter,Students,Teachers,Student Teacher Ratio,Free Lunch,Reduced Lunch,Directly Certified,Type,Status,Geolocation,Latitude,Longitude,Geocode Source,Geocode Match,Matched Address
490001700904,UT-83-83700,4900017,UT-83,09,12,Academy for Math Engineering & Science,Academy for Math Engineering & Science,Salt Lake County,5715 S 1300 E,SALT LAKE CITY,UT,84121,,(801)278-9460,13,"City, Small",Yes,460.00000,24.13000,19.0600000,83.00000,0.00000,–,Regular,Open,"40.647831558415, -111.854448444923",40.647831558415,-111.854448444923,US Census Geocoder,Exact,"5715 S 1300 E, SALT LAKE CITY, UT, 84121"
490036000196,UT-12-12102,4900360,UT-12,PK,06,Academy Park School,Granite District,Salt Lake County,4580 WESTPOINT DR,WEST VALLEY CITY,UT,84120,,(385)646-4750,21,"Suburban, Large",No,358.00000,15.50000,23.1000000,146.00000,27.00000,–,Regular,Open,"40.669390774571, -111.999439107715",40.669390774571,-111.999439107715,US Census Geocoder,Exact,"4580 WESTPOINT DR, WEST VALLEY CITY, UT, 84120"
490051000343,UT-39-39104,4900510,UT-39,PK,05,Adams School,Logan City District,Cache County,415 E 500 N,LOGAN,UT,84321,,(435)755-2320,13,"City, Small",No,338.00000,18.50000,18.2700000,146.00000,31.00000,–,Regular,Open,"41.74085575299, -111.823957557832",41.74085575299,-111.823957557832,US Census Geocoder,Exact,"415 E 500 N, LOGAN, UT, 84321"
490021000793,UT-07-07102,4900210,UT-07,PK,06,Adams School,Davis District,Davis County,2200 E 2500 N,LAYTON,UT,84041,,(801)402-3100,21,"Suburban, Large",No,645.00000,31.50000,20.4800000,120.00000,21.00000,–,Regular,Open,"41.095943740492, -111.924299101824",41.095943740492,-111.924299101824,US Census Geocoder,Non_Exact,"2200 E 2500 N, LAYTON, UT, 84040"
490021000103,UT-07-07104,4900210,UT-07,PK,06,Adelaide School,Davis District,Davis County,731 W 3600 S,BOUNTIFUL,UT,84010,,(801)402-1250,21,"Suburban, Large",No,415.00000,18.39000,22.5700000,164.00000,41.00000,–,Regular,Open,"40.850366366533, -111.899767243684",40.850366366533,-111.899767243684,US Census Geocoder,Exact,"731 W 3600 S, BOUNTIFUL, UT, 84010"
490019801524,UT-1M-1M100,4900198,UT-1M,KG,06,Advantage Arts Academy,Advantage Arts Academy,Salt Lake County,6171 W. 11800 S,HERRIMAN,UT,84096,,(801)878-8622,41,"Rural, Fringe",Yes,354.00000,18.63000,19.0000000,75.00000,13.00000,–,Regular,Open,"40.536917703536, -112.037573229022",40.536917703536,-112.037573229022,US Census Geocoder,Exact,"6171 W 11800 S, HERRIMAN, UT, 84096"
490090000526,UT-25-25308,4900900,UT-25,06,08,Albert R. Lyman Middle,San Juan District,San Juan County,535 N 100 E,BLANDING,UT,84511,,(435)678-1398,43,"Rural, Remote",No,330.00000,18.37000,17.9600000,199.00000,3.00000,–,Regular,Open,"37.633220810142, -109.476269589972",37.633220810142,-109.476269589972,US Census Geocoder,Exact,"535 N 100 E, BLANDING, UT, 84511"
490014200815,UT-42-42401,4900142,UT-42,06,08,Albion Middle,Canyons District,Salt Lake County,2755 E NEWCASTLE DR,SANDY,UT,84093,,(801)826-6700,21,"Suburban, Large",No,943.00000,40.63000,23.2100000,75.00000,15.00000,–,Regular,Open,"40.585880006712, -111.81352099762",40.585880006712,-111.81352099762,US Census Geocoder,Non_Exact,"2755 NEWCASTLE DR, SANDY, UT, 84093"
490003001154,UT-01-01299,4900030,UT-01,KG,08,Alpine Online School,Alpine District,Utah County,575 N 100 E,AMERICAN FORK,UT,84003,,(801)756-8400,21,"Suburban, Large",No,106.00000,4.83000,21.9500000,25.00000,3.00000,–,Regular,Open,"40.388578716703, -111.795853087799",40.388578716703,-111.795853087799,US Census Geocoder,Exact,"575 N 100 E, AMERICAN FORK, UT, 84003"
490003000001,UT-01-01104,4900030,UT-01,PK,06,Alpine School,Alpine District,Utah County,400 E 300 N,ALPINE,UT,84004,,(801)610-8700,21,"Suburban, Large",No,539.00000,25.83000,20.8700000,33.00000,16.00000,–,Regular,Open,"40.457012101452, -111.770486063611",40.457012101452,-111.770486063611,US Census Geocoder,Exact,"400 E 300 N, ALPINE, UT, 84004"
490014200659,UT-42-42702,4900142,UT-42,08,12,Alta High,Canyons District,Salt Lake County,11055 South Hawk Hwy,SANDY,UT,84094,,(801)826-5600,21,"Suburban, Large",No,2278.00000,92.85000,24.5300000,294.00000,52.00000,–,Regular,Open,"40.5483088, -111.8610072",40.5483088,-111.8610072,OpenStreetMap Nominatim,Fallback,"Alta High School, 11000 South, Alta Heights, Silver Smith, Sandy, Salt Lake County, Utah, 84094, United States"
490014200286,UT-42-42104,4900142,UT-42,KG,05,Alta View School,Canyons District,Salt Lake County,10333 CROCUS ST,SANDY,UT,84094,,(801)826-7600,21,"Suburban, Large",No,556.00000,25.32000,21.9600000,100.00000,26.00000,–,Regular,Open,"40.564191676251, -111.866632374419",40.564191676251,-111.866632374419,US Census Geocoder,Non_Exact,"10333 S CROCUS ST, SANDY, UT, 84094"
490024000158,UT-08-08704,4900240,UT-08,07,12,Altamont High,Duchesne District,Duchesne County,200 W MAIN,ALTAMONT,UT,84001,,(435)738-1345,43,"Rural, Remote",No,273.00000,16.17000,16.8800000,48.00000,13.00000,–,Regular,Open,"40.3592969, -110.2869868",40.3592969,-110.2869868,OpenStreetMap Nominatim,Fallback,"Main Street, Altamont, Duchesne County, Utah, 84001, United States"
490024000159,UT-08-08104,4900240,UT-08,PK,06,Altamont School,Duchesne District,Duchesne County,190 W MAIN,ALTAMONT,UT,84001,,(435)738-1375,43,"Rural, Remote",No,357.00000,19.50000,18.3100000,100.00000,30.00000,–,Regular,Open,"40.3592969, -110.2869868",40.3592969,-110.2869868,OpenStreetMap Nominatim,Fallback,"Main Street, Altamont, Duchesne County, Utah, 84001, United States"
